"","x"
"1","turquoise"
"2","blue"
"3","salmon"
"4","cyan"
"5","brown"
"6","turquoise"
"7","blue"
"8","green"
"9","yellow"
"10","yellow"
"11","cyan"
"12","blue"
"13","turquoise"
"14","salmon"
"15","green"
"16","cyan"
"17","turquoise"
"18","turquoise"
"19","salmon"
"20","blue"
"21","tan"
"22","lightcyan"
"23","green"
"24","tan"
"25","turquoise"
"26","orange"
"27","turquoise"
"28","yellow"
"29","brown"
"30","blue"
"31","brown"
"32","green"
"33","brown"
"34","turquoise"
"35","purple"
"36","brown"
"37","salmon"
"38","midnightblue"
"39","salmon"
"40","brown"
"41","blue"
"42","blue"
"43","blue"
"44","blue"
"45","turquoise"
"46","black"
"47","salmon"
"48","magenta"
"49","blue"
"50","turquoise"
"51","brown"
"52","white"
"53","yellow"
"54","red"
"55","blue"
"56","yellow"
"57","blue"
"58","turquoise"
"59","blue"
"60","turquoise"
"61","turquoise"
"62","salmon"
"63","brown"
"64","brown"
"65","blue"
"66","lightyellow"
"67","turquoise"
"68","magenta"
"69","black"
"70","black"
"71","blue"
"72","salmon"
"73","purple"
"74","red"
"75","blue"
"76","brown"
"77","brown"
"78","turquoise"
"79","blue"
"80","black"
"81","turquoise"
"82","brown"
"83","turquoise"
"84","blue"
"85","tan"
"86","brown"
"87","green"
"88","blue"
"89","brown"
"90","magenta"
"91","blue"
"92","midnightblue"
"93","blue"
"94","green"
"95","grey60"
"96","blue"
"97","blue"
"98","blue"
"99","black"
"100","red"
"101","black"
"102","black"
"103","green"
"104","green"
"105","blue"
"106","blue"
"107","turquoise"
"108","green"
"109","blue"
"110","blue"
"111","red"
"112","yellow"
"113","yellow"
"114","brown"
"115","grey60"
"116","turquoise"
"117","tan"
"118","midnightblue"
"119","lightcyan"
"120","blue"
"121","blue"
"122","red"
"123","black"
"124","magenta"
"125","green"
"126","lightcyan"
"127","turquoise"
"128","lightcyan"
"129","brown"
"130","green"
"131","yellow"
"132","lightcyan"
"133","black"
"134","turquoise"
"135","midnightblue"
"136","lightcyan"
"137","brown"
"138","turquoise"
"139","tan"
"140","lightcyan"
"141","green"
"142","green"
"143","salmon"
"144","orange"
"145","white"
"146","purple"
"147","brown"
"148","brown"
"149","magenta"
"150","brown"
"151","brown"
"152","red"
"153","turquoise"
"154","yellow"
"155","green"
"156","yellow"
"157","royalblue"
"158","yellow"
"159","pink"
"160","brown"
"161","brown"
"162","black"
"163","brown"
"164","turquoise"
"165","turquoise"
"166","blue"
"167","blue"
"168","purple"
"169","pink"
"170","yellow"
"171","turquoise"
"172","turquoise"
"173","turquoise"
"174","pink"
"175","blue"
"176","lightyellow"
"177","brown"
"178","blue"
"179","brown"
"180","yellow"
"181","blue"
"182","darkgreen"
"183","yellow"
"184","black"
