"","x"
"1",1
"2",2
"3",13
"4",14
"5",3
"6",1
"7",2
"8",5
"9",4
"10",4
"11",14
"12",2
"13",1
"14",13
"15",5
"16",14
"17",1
"18",1
"19",13
"20",2
"21",12
"22",16
"23",5
"24",12
"25",1
"26",25
"27",1
"28",4
"29",3
"30",2
"31",3
"32",5
"33",3
"34",1
"35",10
"36",3
"37",13
"38",15
"39",13
"40",3
"41",2
"42",2
"43",2
"44",2
"45",1
"46",7
"47",13
"48",9
"49",2
"50",1
"51",3
"52",27
"53",4
"54",6
"55",2
"56",4
"57",2
"58",1
"59",2
"60",1
"61",1
"62",13
"63",3
"64",3
"65",2
"66",19
"67",1
"68",9
"69",7
"70",7
"71",2
"72",13
"73",10
"74",6
"75",2
"76",3
"77",3
"78",1
"79",2
"80",7
"81",1
"82",3
"83",1
"84",2
"85",12
"86",3
"87",5
"88",2
"89",3
"90",9
"91",2
"92",15
"93",2
"94",5
"95",17
"96",2
"97",2
"98",2
"99",7
"100",6
"101",7
"102",7
"103",5
"104",5
"105",2
"106",2
"107",1
"108",5
"109",2
"110",2
"111",6
"112",4
"113",4
"114",3
"115",17
"116",1
"117",12
"118",15
"119",16
"120",2
"121",2
"122",6
"123",7
"124",9
"125",5
"126",16
"127",1
"128",16
"129",3
"130",5
"131",4
"132",16
"133",7
"134",1
"135",15
"136",16
"137",3
"138",1
"139",12
"140",16
"141",5
"142",5
"143",13
"144",25
"145",27
"146",10
"147",3
"148",3
"149",9
"150",3
"151",3
"152",6
"153",1
"154",4
"155",5
"156",4
"157",20
"158",4
"159",8
"160",3
"161",3
"162",7
"163",3
"164",1
"165",1
"166",2
"167",2
"168",10
"169",8
"170",4
"171",1
"172",1
"173",1
"174",8
"175",2
"176",19
"177",3
"178",2
"179",3
"180",4
"181",2
"182",22
"183",4
"184",7
"185",9
"186",3
"187",1
"188",6
"189",8
"190",10
"191",4
"192",1
"193",3
"194",2
"195",3
"196",9
"197",1
"198",20
"199",4
"200",4
"201",1
"202",2
"203",2
"204",16
"205",1
"206",6
"207",4
"208",4
"209",2
"210",7
"211",7
"212",3
"213",1
"214",2
"215",0
"216",1
"217",2
"218",2
"219",8
"220",2
"221",5
"222",1
"223",1
"224",5
"225",2
"226",2
"227",6
"228",1
"229",2
"230",1
"231",6
"232",9
"233",1
"234",1
"235",6
"236",8
"237",2
"238",14
"239",9
"240",1
"241",2
"242",1
"243",20
"244",7
"245",1
"246",5
"247",1
"248",9
"249",3
"250",9
"251",3
"252",1
"253",2
"254",9
"255",8
"256",10
"257",4
"258",1
"259",4
"260",22
"261",6
"262",21
"263",14
"264",10
"265",15
"266",10
"267",7
"268",6
"269",23
"270",7
"271",2
"272",5
"273",9
"274",4
"275",5
"276",8
"277",10
"278",1
"279",7
"280",2
"281",4
"282",13
"283",13
"284",2
"285",25
"286",12
"287",1
"288",14
"289",6
"290",7
"291",7
"292",3
"293",2
"294",2
"295",2
"296",3
"297",7
"298",2
"299",15
"300",1
"301",1
"302",8
"303",3
"304",10
"305",3
"306",1
"307",1
"308",5
"309",2
"310",21
"311",2
"312",8
"313",3
"314",8
"315",1
"316",1
"317",2
"318",8
"319",14
"320",1
"321",9
"322",7
"323",5
"324",19
"325",6
"326",8
"327",3
"328",8
"329",1
"330",2
"331",24
"332",3
"333",2
"334",2
"335",27
"336",8
"337",4
"338",8
"339",5
"340",2
"341",2
"342",2
"343",13
"344",5
"345",6
"346",3
"347",6
"348",2
"349",6
"350",7
"351",1
"352",2
"353",20
"354",6
"355",1
"356",1
"357",7
"358",4
"359",4
"360",4
"361",4
"362",1
"363",1
"364",7
"365",2
"366",3
"367",6
"368",9
"369",15
"370",13
"371",13
"372",1
"373",2
"374",3
"375",2
"376",1
"377",1
"378",3
"379",3
"380",14
"381",2
"382",1
"383",4
"384",2
"385",7
"386",19
"387",9
"388",2
"389",3
"390",6
"391",21
"392",1
"393",4
"394",19
"395",4
"396",3
"397",6
"398",1
"399",1
"400",9
"401",1
"402",6
"403",1
"404",6
"405",4
"406",5
"407",20
"408",10
"409",9
"410",2
"411",17
"412",5
"413",2
"414",9
"415",3
"416",3
"417",25
"418",3
"419",21
"420",2
"421",8
"422",7
"423",4
"424",6
"425",7
"426",2
"427",7
"428",3
"429",1
"430",6
"431",3
"432",8
"433",2
"434",1
"435",8
"436",1
"437",7
"438",13
"439",1
"440",15
"441",25
"442",14
"443",2
"444",16
"445",9
"446",8
"447",3
"448",3
"449",1
"450",1
"451",0
"452",1
